email,Liquid Sales to Date,Bar Sales to Date
dmalone1@tumblr.com,9380,3927
dsworder6@is.gd,8731,4300
bandresen8@rakuten.co.jp,9655,611
cmiskin9@dion.ne.jp,8371,1814
tmenguyb@people.com.cn,567,1300
ebaggaleyc@earthlink.net,8409,1590
esooleyd@pcworld.com,6248,4716
kfoucarde@tinyurl.com,1965,4768
grichardoni@google.fr,708,14
uimpyk@marriott.com,2233,1801
wramshayn@tripadvisor.com,9387,492
lpeinkep@elpais.com,626,2114
acaveq@exblog.jp,8166,1672
mizkovicir@cyberchimps.com,4735,4687
lloudert@springer.com,4679,4635
cchildesv@dot.gov,654,3324
crabbetw@chicagotribune.com,3404,4221
lrallinshawx@icq.com,5615,4657
nreburny@answers.com,4995,704
ccordeuxz@ed.gov,1619,2106
ldiable12@chronoengine.com,5196,1780
nmurty15@wordpress.com,2483,1525
ksnepp16@diigo.com,8110,3869
bepple17@miibeian.gov.cn,5526,4589
wchoudhury19@goo.ne.jp,3116,2074
lpilpovic1d@multiply.com,1318,3431
hbootton1e@jugem.jp,8522,1324
mgoulborn1h@usgs.gov,8278,866
jhalliday1j@bbc.co.uk,9053,3343
nmccurlye1l@cdbaby.com,3036,2691
emcginny1m@smh.com.au,7706,4146
rlinfitt1o@yolasite.com,7203,3636
mtittershill1q@unicef.org,7001,3193
cminshull1r@xinhuanet.com,9768,2905
ftremoulet1s@flavors.me,4442,1638
hhendrikse1v@disqus.com,3767,1584
dortet1x@prweb.com,4010,3493
phartlebury1y@springer.com,2416,1733
rborley22@sourceforge.net,9618,3264
asesons23@ft.com,3697,4298
edawks25@addthis.com,9512,3900
chedditeh27@dailymail.co.uk,1823,2784
jsackett28@hud.gov,7967,2478
sdericot2c@lulu.com,7723,1037
dbarlas2d@elegantthemes.com,4590,2170
lsibson2h@sitemeter.com,9592,2676
lglencrash2j@sphinn.com,2519,10
calbiston2n@mozilla.org,4861,1380
wbollini2o@wired.com,7520,2015
wkrol2p@economist.com,866,4996
nnyssen2q@chicagotribune.com,6321,2298
gjocelyn2u@army.mil,6748,2825
rcake2v@mail.ru,7139,3926
hlesaunier2w@hostgator.com,667,2039
fdesquesnes2x@apache.org,9910,3240
mpashby2y@github.com,5987,2767
tarnault2z@google.com,805,1015
