Status,email,Interested in Liquid Soap,Interested In Soap Bars,Sign-up Date,Unsubscribe Date,Liquid Sales to Date,Bar Sales to Date
Resubscribed,esooleyd@pcworld.com,1,0,03/12/2018,28/04/2018,6248,4716
Resubscribed,mizkovicir@cyberchimps.com,1,0,26/12/2018,17/07/2018,4735,4687
Resubscribed,etyres3p@archive.org,1,0,14/10/2018,08/08/2018,2225,4701
Resubscribed,fcatonne40@studiopress.com,0,1,20/09/2018,20/05/2018,7244,2690
Resubscribed,cguiduzzi5i@plala.or.jp,1,1,19/06/2018,24/05/2018,8056,3454
Resubscribed,bmatisoff5j@flickr.com,1,0,20/12/2018,04/10/2018,4873,1186
Subscribed,pvenart0@posterous.com,1,0,16/08/2018,,159,1723
Subscribed,erosedale2@google.com.hk,0,1,13/01/2016,,2019,3452
Subscribed,obowman3@hubpages.com,1,0,11/11/2018,,6943,422
Subscribed,fmacpadene4@behance.net,1,1,19/07/2017,,8937,1569
Subscribed,gearsman5@tinyurl.com,0,1,21/07/2016,,8873,600
Subscribed,cdestoop7@istockphoto.com,0,1,31/01/2016,,1624,1716
Subscribed,tdunsmorea@sbwire.com,1,0,16/07/2017,,845,781
Subscribed,kdenormanvillef@amazon.de,1,1,27/02/2017,,9449,378
Subscribed,etieryg@sina.com.cn,1,0,24/06/2018,,3328,1690
Subscribed,kgalbreathh@oracle.com,0,1,19/12/2017,,4139,3565
Subscribed,ibeagleyj@hhs.gov,0,1,21/05/2016,,4266,1421
Subscribed,lmottinellil@dailymail.co.uk,0,1,03/05/2018,,2059,981
Subscribed,mallenderm@apache.org,1,0,08/03/2018,,8690,435
Subscribed,ciianono@yelp.com,0,1,31/10/2016,,1791,679
Subscribed,cpatchings@w3.org,1,0,05/04/2016,,3147,4040
Subscribed,mjessonu@disqus.com,0,1,12/11/2017,,3412,2125
Subscribed,mbelsher10@flavors.me,1,1,17/05/2018,,1710,4173
Subscribed,smccaw11@biblegateway.com,1,0,04/10/2018,,819,724
Subscribed,jholworth13@com.com,1,0,21/07/2018,,8308,2083
Subscribed,rmcnerlin14@bluehost.com,1,1,02/03/2017,,704,2278
Subscribed,bfantin18@umich.edu,1,1,05/04/2018,,3036,2046
Subscribed,ofuzzens1a@is.gd,0,1,20/08/2016,,4167,1578
Subscribed,clowdyane1b@live.com,0,0,06/11/2018,,6761,201
Subscribed,gjob1c@adobe.com,1,0,08/09/2016,,9411,478
Subscribed,carnaudot1f@engadget.com,0,1,25/01/2016,,1266,4520
Subscribed,crodliff1g@google.ca,1,0,09/12/2016,,7055,3812
Subscribed,eorum1i@chronoengine.com,1,1,23/02/2016,,9683,891
Subscribed,mbackshall1k@state.tx.us,0,1,26/11/2017,,6082,4514
Subscribed,bjuares1n@harvard.edu,0,1,02/11/2018,,2649,2835
Subscribed,dcharlwood1p@engadget.com,1,0,26/12/2016,,6609,4306
Subscribed,ptortice1t@yellowpages.com,1,0,18/09/2018,,7594,250
Subscribed,jbrokenshaw1u@aol.com,1,1,27/01/2016,,1188,274
Subscribed,whollingdale1w@europa.eu,0,1,14/05/2018,,6061,1165
Subscribed,vbrewin1z@amazon.co.uk,0,1,06/10/2018,,5262,2796
Subscribed,croffe20@nhs.uk,1,0,25/03/2017,,5143,4052
Subscribed,mhanhart21@cam.ac.uk,1,1,10/06/2017,,8324,2187
