Salesperson,Departure_ID,Date_Logged,Product_Type,Weight_Allocated,Volume_Allocated
Daisy Steiner,Tanker-05-04-05-2019,2/21/2019,Spurs Jerseys,111,10
Tim Bisley,Freighter-01-18-06-2019,1/14/2019,Phone Catalogues,756,48
Daisy Steiner,Tanker-04-27-04-2019,1/26/2019,Oil,220,28
Colin Chien,Freighter-02-10-04-2019,3/11/2019,Rubber Ducks,536,20
Colin Chien,Tanker-05-20-05-2019,1/27/2019,Vinyl Records,148,30
Mike Watt,Tanker-05-03-05-2019,2/22/2019,Legumes,221,10
Twist Morgan,Tanker-05-08-06-2019,1/17/2019,Tiny Violins,68,2
Colin Chien,Tug-01-29-04-2019,1/13/2019,University Textbooks,99,10
Twist Morgan,Tug-04-18-06-2019,2/11/2019,Rubber Ducks,61,7
Colin Chien,Tug-04-12-06-2019,2/4/2019,C&BS Co Soap,95,1
Tim Bisley,Tug-04-18-06-2019,1/11/2019,Shipping Containers,43,10
Twist Morgan,Tanker-05-04-05-2019,4/25/2019,Tiny Violins,61,36
Colin Chien,Freighter-04-12-04-2019,2/20/2019,White Goods,432,72
Daisy Steiner,Tug-01-04-06-2019,2/25/2019,Tiny Violins,87,5
Mike Watt,Tanker-01-04-06-2019,3/28/2019,Motor vehicles,91,20
Twist Morgan,Freighter-02-11-06-2019,2/26/2019,DM Paper,888,82
Mike Watt,Tanker-05-20-05-2019,2/26/2019,Vinyl Records,218,40
Mike Watt,Freighter-03-01-04-2019,3/3/2019,Sneakers,396,34
Colin Chien,Freighter-02-10-04-2019,3/9/2019,Oil,252,54
Mike Watt,Tug-05-22-05-2019,1/17/2019,Oil,22,7
Colin Chien,Freighter-05-26-06-2019,3/11/2019,C&BS Co Soap,252,82
Colin Chien,Tug-02-25-04-2019,3/5/2019,Gold Bullion,27,12
Mike Watt,Freighter-04-19-06-2019,2/12/2019,Phone Catalogues,872,70
Colin Chien,Tug-05-27-03-2019,1/3/2019,Spices,42,9
Daisy Steiner,Tug-05-22-05-2019,3/21/2019,University Textbooks,44,3
Brian Topp,Freighter-02-26-05-2019,3/12/2019,Oil,280,44
Tim Bisley,Tug-03-14-04-2019,2/26/2019,Spurs Jerseys,35,5
Twist Morgan,Tug-05-27-03-2019,3/29/2019,Spurs Jerseys,21,4
Marsha Klein,Tug-05-22-05-2019,3/27/2019,Livestock,56,11
Marsha Klein,Tanker-02-07-04-2019,1/11/2019,DVD Boxsets,239,24
Brian Topp,Tug-02-25-04-2019,3/8/2019,University Textbooks,27,5
Twist Morgan,Freighter-01-18-06-2019,4/2/2019,Phone Catalogues,980,94
Tim Bisley,Tanker-04-21-04-2019,2/15/2019,Timber,216,34
Tim Bisley,Tug-04-18-06-2019,4/13/2019,Spices,74,8
Colin Chien,Tanker-05-03-05-2019,3/4/2019,Livestock,188,2
Twist Morgan,Tug-03-14-04-2019,1/7/2019,University Textbooks,4,12
Daisy Steiner,Freighter-03-10-04-2019,2/17/2019,Oil,864,46
Daisy Steiner,Tug-01-30-04-2019,1/18/2019,Sneakers,14,1
Brian Topp,Freighter-02-10-04-2019,3/2/2019,Cheese,524,48
Daisy Steiner,Tug-04-03-05-2019,1/12/2019,Legumes,85,6
Colin Chien,Tug-01-13-06-2019,3/13/2019,Luxury Goods,61,6
Colin Chien,Tug-03-14-04-2019,4/19/2019,Shipping Containers,68,12
Brian Topp,Freighter-03-10-04-2019,3/16/2019,C&BS Co Soap,20,90
Twist Morgan,Tug-01-13-06-2019,3/8/2019,Phone Catalogues,4,13
Daisy Steiner,Freighter-05-26-06-2019,4/22/2019,Oil,780,16
Brian Topp,Freighter-04-19-06-2019,4/23/2019,DM Paper,268,2
Tim Bisley,Freighter-02-03-06-2019,2/5/2019,Motor vehicles,516,2
Twist Morgan,Freighter-04-31-03-2019,4/9/2019,Motor vehicles,444,68
Colin Chien,Tanker-05-03-05-2019,1/19/2019,Shipping Containers,15,36
Twist Morgan,Tanker-04-10-04-2019,1/27/2019,Legumes,65,24
Brian Topp,Tanker-01-11-05-2019,4/19/2019,Knickknacks,120,22
Daisy Steiner,Tug-01-29-04-2019,4/12/2019,Oil,98,5
Marsha Klein,Tug-04-03-05-2019,4/5/2019,Spices,72,11
Marsha Klein,Freighter-02-19-04-2019,3/4/2019,Motor vehicles,612,62
Colin Chien,Freighter-01-18-06-2019,3/9/2019,University Textbooks,200,76
Mike Watt,Tug-05-27-03-2019,3/23/2019,Gold Bullion,77,4
Brian Topp,Freighter-05-10-06-2019,1/1/2019,Legumes,568,60
Marsha Klein,Tug-01-30-04-2019,3/12/2019,Cheese,42,10
Daisy Steiner,Tug-05-27-03-2019,4/15/2019,Spurs Jerseys,40,3
Brian Topp,Tanker-05-27-05-2019,2/9/2019,Tiny Violins,50,2
Mike Watt,Tug-04-03-05-2019,1/28/2019,Legumes,62,4
Tim Bisley,Tug-02-25-04-2019,4/1/2019,Cheese,68,12
Tim Bisley,Tug-01-30-04-2019,3/14/2019,Spurs Jerseys,87,5
Tim Bisley,Tug-05-10-04-2019,4/10/2019,Livestock,43,7
Twist Morgan,Freighter-01-18-06-2019,4/20/2019,Timber,248,74
Colin Chien,Tanker-04-27-06-2019,4/23/2019,Gold Bullion,124,4
Tim Bisley,Freighter-02-26-05-2019,1/11/2019,Produce,232,58
Colin Chien,Tug-05-10-04-2019,4/14/2019,Tiny Violins,59,8
Daisy Steiner,Freighter-05-23-05-2019,4/14/2019,Luxury Goods,844,40
Marsha Klein,Freighter-03-01-04-2019,2/19/2019,Livestock,272,16
Daisy Steiner,Tanker-03-30-04-2019,3/6/2019,Knickknacks,57,48
Twist Morgan,Freighter-04-27-04-2019,2/1/2019,Phone Catalogues,852,4
Tim Bisley,Freighter-02-10-04-2019,4/24/2019,Oil,8,48
Mike Watt,Freighter-04-27-04-2019,3/10/2019,Vinyl Records,300,56
Colin Chien,Freighter-02-03-06-2019,1/20/2019,Shipping Containers,628,10
Colin Chien,Tug-04-21-06-2019,2/1/2019,C&BS Co Soap,23,4
Colin Chien,Tug-01-13-06-2019,4/18/2019,Motor vehicles,46,2
Marsha Klein,Tanker-04-21-04-2019,2/18/2019,Timber,186,40
Brian Topp,Freighter-05-26-05-2019,2/27/2019,DVD Boxsets,236,90
Twist Morgan,Tug-04-18-06-2019,4/19/2019,Vinyl Records,52,3
Colin Chien,Tanker-02-11-06-2019,1/26/2019,Rubber Ducks,95,6
Mike Watt,Freighter-01-18-06-2019,3/27/2019,Motor vehicles,748,68
Colin Chien,Tanker-05-04-05-2019,3/20/2019,Cheese,142,2
Twist Morgan,Tug-05-26-05-2019,2/14/2019,University Textbooks,68,2
Mike Watt,Tug-02-11-05-2019,2/26/2019,Produce,1,9
Marsha Klein,Freighter-02-26-05-2019,2/2/2019,Electronics,864,36
Twist Morgan,Tug-04-18-06-2019,4/21/2019,Luxury Goods,31,6
Tim Bisley,Tanker-02-11-06-2019,1/23/2019,Knickknacks,186,44
Colin Chien,Tanker-04-27-06-2019,1/19/2019,Legumes,111,46
Daisy Steiner,Freighter-04-12-04-2019,2/17/2019,Oil,352,68
Brian Topp,Freighter-01-06-04-2019,1/13/2019,Phone Catalogues,972,64
Marsha Klein,Tanker-01-04-06-2019,4/18/2019,Luxury Goods,201,8
Tim Bisley,Freighter-03-10-04-2019,4/5/2019,White Goods,36,6
Marsha Klein,Tug-05-27-03-2019,3/22/2019,Timber,66,8
Brian Topp,Tug-02-25-04-2019,1/9/2019,C&BS Co Soap,5,10
