Weekly Avg Transactions,Weekly Avg Balances,Days Below Zero balance?,Days Beyond Max Credit,Week,Account,Name,Date
1429,18023,0,0,26,1237421,Bubbly McBubbleface,23/06/2019
1225,23616,0,0,16,4271819,Bubblicious,14/04/2019
265,8269,0,0,18,12371202,Bubbleburst,28/04/2019
1002,43801.57,0,0,11,1237421,Bubbly McBubbleface,10/03/2019
993,98667.6,0,0,1,1237421,Bubbly McBubbleface,01/01/2019
1531,90398.57,0,0,2,4271819,Bubblicious,06/01/2019
971,69355.14,0,0,6,1237421,Bubbly McBubbleface,03/02/2019
1023,36350.43,0,0,14,4271819,Bubblicious,31/03/2019
1213,33623.14,0,0,24,1237421,Bubbly McBubbleface,09/06/2019
770,4977,6,0,22,4271819,Bubblicious,26/05/2019
157,2885.29,0,0,2,12371202,Bubbleburst,06/01/2019
293,2023.71,0,0,24,12371202,Bubbleburst,09/06/2019
954,35876,0,0,24,4271819,Bubblicious,09/06/2019
1443,45728.57,0,0,11,4271819,Bubblicious,10/03/2019
262,3612.71,0,0,23,12371202,Bubbleburst,02/06/2019
1319,82050.29,0,0,3,1237421,Bubbly McBubbleface,13/01/2019
1571,28251,0,0,25,4271819,Bubblicious,16/06/2019
2346,12891,0,0,27,1237421,Bubbly McBubbleface,30/06/2019
290,12421.86,0,0,8,12371202,Bubbleburst,17/02/2019
917,69868.43,0,0,6,4271819,Bubblicious,03/02/2019
1197,62986.57,0,0,7,4271819,Bubblicious,10/02/2019
247,1746.86,0,0,3,12371202,Bubbleburst,13/01/2019
753,25730.29,0,0,25,1237421,Bubbly McBubbleface,16/06/2019
1286,15750.14,0,0,17,4271819,Bubblicious,21/04/2019
1113,70298.43,0,0,5,4271819,Bubblicious,27/01/2019
1968,15474.43,0,0,26,4271819,Bubblicious,23/06/2019
350,-403.71,5,0,25,12371202,Bubbleburst,16/06/2019
1857,29405.71,0,0,15,1237421,Bubbly McBubbleface,07/04/2019
1275,3834.14,1,0,21,4271819,Bubblicious,19/05/2019
273,2291.14,0,0,22,12371202,Bubbleburst,26/05/2019
1306,53112.43,0,0,9,4271819,Bubblicious,24/02/2019
1305,17441.86,0,0,16,1237421,Bubbly McBubbleface,14/04/2019
209,-2475.86,7,0,26,12371202,Bubbleburst,23/06/2019
278,14002.57,1,0,14,12371202,Bubbleburst,31/03/2019
243,9496.57,0,0,9,12371202,Bubbleburst,24/02/2019
219,15934,0,0,6,12371202,Bubbleburst,03/02/2019
1765,60192.86,0,0,7,1237421,Bubbly McBubbleface,10/02/2019
1413,7784.29,0,0,17,1237421,Bubbly McBubbleface,21/04/2019
184,2375.71,0,0,12,12371202,Bubbleburst,17/03/2019
1051,14882.29,0,0,18,1237421,Bubbly McBubbleface,28/04/2019
222,3216,0,0,21,12371202,Bubbleburst,19/05/2019
266,14565.14,0,0,15,12371202,Bubbleburst,07/04/2019
689,19178.86,0,0,18,4271819,Bubblicious,28/04/2019
335,-3241,1,0,27,12371202,Bubbleburst,30/06/2019
254,10179.57,0,0,17,12371202,Bubbleburst,21/04/2019
197,5064.86,0,0,10,12371202,Bubbleburst,03/03/2019
1419,45181.57,0,0,23,4271819,Bubblicious,02/06/2019
272,6549.43,0,0,19,12371202,Bubbleburst,05/05/2019
1159,53237.29,0,0,10,4271819,Bubblicious,03/03/2019
1584,42634,0,0,23,1237421,Bubbly McBubbleface,02/06/2019
1057,32796.71,0,0,15,4271819,Bubblicious,07/04/2019
1182,37571.57,0,0,14,1237421,Bubbly McBubbleface,31/03/2019
1119,50223.43,0,0,8,1237421,Bubbly McBubbleface,17/02/2019
237,14222.43,0,0,7,12371202,Bubbleburst,10/02/2019
1522,-767.14,4,0,21,1237421,Bubbly McBubbleface,19/05/2019
1427,53225.57,0,0,10,1237421,Bubbly McBubbleface,03/03/2019
367,-463.43,5,0,4,12371202,Bubbleburst,20/01/2019
1491,34807.29,0,0,12,4271819,Bubblicious,17/03/2019
1461,28755.86,0,0,13,1237421,Bubbly McBubbleface,24/03/2019
323,12410,0,0,16,12371202,Bubbleburst,14/04/2019
1353,9016.43,0,0,20,1237421,Bubbly McBubbleface,12/05/2019
227,4797.71,0,0,20,12371202,Bubbleburst,12/05/2019
305,4426.2,0,0,1,12371202,Bubbleburst,01/01/2019
1042,47604.57,0,0,9,1237421,Bubbly McBubbleface,24/02/2019
367,654,2,0,13,12371202,Bubbleburst,24/03/2019
385,7947,0,0,27,4271819,Bubblicious,30/06/2019
1038,12398.43,0,0,20,4271819,Bubblicious,12/05/2019
797,72781,0,0,4,4271819,Bubblicious,20/01/2019
191,3706.71,0,0,11,12371202,Bubbleburst,10/03/2019
1189,80580.57,0,0,3,4271819,Bubblicious,13/01/2019
1242,68574.29,0,0,5,1237421,Bubbly McBubbleface,27/01/2019
995,37457.86,0,0,12,1237421,Bubbly McBubbleface,17/03/2019
235,3017.86,5,0,5,12371202,Bubbleburst,27/01/2019
1271,90139.71,0,0,2,1237421,Bubbly McBubbleface,06/01/2019
1205,25209.14,0,0,13,4271819,Bubblicious,24/03/2019
1419,-2140.57,6,4,22,1237421,Bubbly McBubbleface,26/05/2019
692,56502.86,0,0,8,4271819,Bubblicious,17/02/2019
1160,73950.43,0,0,4,1237421,Bubbly McBubbleface,20/01/2019
1280,18945.57,0,0,19,1237421,Bubbly McBubbleface,05/05/2019
1248,21076.71,0,0,19,4271819,Bubblicious,05/05/2019
994,96965,0,0,1,4271819,Bubblicious,01/01/2019
