Days Beyond Max Credit,Days Below Zero balance?,Monthly Avg Transactions,Monthly Avg Balances,Month,Account,Name,Date
0,0,1209,82167.55,1,1237421,Bubbly McBubbleface,01/01/2019
0,0,1016,61690.11,2,4271819,Bubblicious,01/02/2019
0,0,1315,30098.8,6,1237421,Bubbly McBubbleface,01/06/2019
0,0,254,13791.18,2,12371202,Bubbleburst,01/02/2019
0,0,1219,41392.06,3,1237421,Bubbly McBubbleface,01/03/2019
0,0,1415,31047.6,6,4271819,Bubblicious,01/06/2019
0,3,229,3022.06,3,12371202,Bubbleburst,01/03/2019
0,7,1038,11319.29,5,4271819,Bubblicious,01/05/2019
0,13,286,701.9,6,12371202,Bubbleburst,01/06/2019
0,0,296,12865.07,4,12371202,Bubbleburst,01/04/2019
0,10,261,1253.9,1,12371202,Bubbleburst,01/01/2019
0,0,1122,25605.27,4,4271819,Bubblicious,01/04/2019
0,0,1290,40431.81,3,4271819,Bubblicious,01/03/2019
4,10,1357,7229.45,5,1237421,Bubbly McBubbleface,01/05/2019
0,0,230,4641.1,5,12371202,Bubbleburst,01/05/2019
0,0,1208,57972.79,2,1237421,Bubbly McBubbleface,01/02/2019
0,0,1387,20931.33,4,1237421,Bubbly McBubbleface,01/04/2019
0,0,1148,81725.39,1,4271819,Bubblicious,01/01/2019
