Customer ID,First Name,Last Name,Sales,Order Date,Stock
1,Anselm,Mimmack,9983.71,05/02/2018,China Life Insurance Company Limited
2,Beulah,Kilgannon,6266.6,09/11/2016,"American Electric Power Company, Inc."
3,Josh,Jowitt,4886.98,15/09/2017,"Veritex Holdings, Inc."
4,Holly,Crock,1749.65,19/07/2018,CVS Health Corporation
5,Wandis,Cagan,674.9,25/03/2018,"Amber Road, Inc."
6,Bren,Willets,1357.45,20/02/2017,"The Andersons, Inc."
7,Tana,Adacot,1219.74,11/04/2018,Conyers Park Acquisition Corp.
8,Karim,Saintsbury,8905.57,11/09/2016,"Mobile Mini, Inc."
9,Dyna,Alldis,2631.69,13/06/2016,Gemphire Therapeutics Inc.
10,Sol,Ladon,5260.05,22/06/2016,BlackRock Strategic Municipal Trust Inc. (The)
11,Lynn,Varvell,3168.56,02/03/2019,Blackrock Municipal Income Quality Trust
12,Timothee,Ludwell,2141.75,01/12/2016,"MSC Industrial Direct Company, Inc."
13,Karin,Urling,2148.96,01/04/2017,"Gabelli Equity Trust, Inc. (The)"
14,Rosco,Pering,9210.22,07/07/2016,Enzymotec Ltd.
15,Baily,Bader,9776.14,15/02/2018,"Fidelity National Financial, Inc."
16,Ezequiel,Tissington,6990.19,12/07/2017,Vantage Energy Acquisition Corp.
17,Alison,Redemile,3915.51,12/10/2018,Nuveen AMT-Free Municipal Value Fund
18,Durant,Behagg,9077.98,30/05/2017,Ingredion Incorporated
19,Lucina,Demaid,9737.52,22/10/2017,Foresight Autonomous Holdings Ltd.
20,Sawyere,Bernaldez,7255.07,16/11/2018,China Mobile (Hong Kong) Ltd.
21,Joye,Brodie,8282.54,18/06/2017,"2U, Inc."
22,Andree,Letford,6662.56,26/05/2018,"Catasys, Inc."
23,Homere,Eustace,3450.49,29/07/2016,CYREN Ltd.
24,Maud,Mulqueeny,9957.87,06/06/2018,"Universal Stainless & Alloy Products, Inc."
25,Sandye,Braithwaite,8071.58,16/08/2017,Companhia Paranaense de Energia (COPEL)
26,Miguelita,Parlor,7464.93,29/06/2017,American National Insurance Company
27,Thaxter,Wapples,1120.2,14/11/2018,"Vertex Energy, Inc"
28,Lucina,Taffee,9838.58,12/08/2018,"Teligent, Inc."
29,Evy,McCuaig,7988.5,16/10/2018,"Match Group, Inc."
30,Kaylyn,McCrorie,8352.07,17/09/2017,"SGOCO Group, Ltd"
31,Fay,Anders,1306.86,24/12/2017,Scorpio Bulkers Inc.
32,Lorraine,Buist,6409.32,02/09/2016,Rowan Companies plc
33,Pamela,Wingatt,2171.44,15/08/2018,"Freeport-McMoran, Inc."
34,Perri,Atchly,8145.8,14/07/2017,"American Airlines Group, Inc."
35,Gage,Penhaleurack,546.88,14/11/2018,Tenet Healthcare Corporation
36,Alina,Seneschal,1767.39,22/08/2016,"MMA Capital Management, LLC"
37,Lezlie,Hanalan,8317.93,04/08/2016,Agree Realty Corporation
38,Caty,Metherell,3196.52,22/03/2019,"Proto Labs, Inc."
39,Berti,Folshom,5154.63,25/05/2016,Tower Semiconductor Ltd.
40,Tyson,Reuble,8986.46,04/09/2017,Hecla Mining Company
41,Lyndy,Pitkins,4994.69,05/03/2018,Rexnord Corporation
42,Gray,MacHarg,3891.96,12/05/2018,"M/I Homes, Inc."
43,Gipsy,Buckley,1712.62,09/02/2017,"VeriSign, Inc."
44,Brew,Lennie,3982.23,22/02/2018,iShares MSCI Europe Small-Cap ETF
45,Dione,Riolfi,9638.18,10/09/2017,"Celestica, Inc."
46,Lloyd,Walliker,6507.82,15/03/2017,Sirius XM Holdings Inc.
47,Pattie,Francesconi,1211.37,12/08/2016,Tsakos Energy Navigation Ltd
48,Herta,Charnley,2746.38,22/03/2019,Belden Inc
49,Blinny,Alred,5065.98,24/04/2018,"SORL Auto Parts, Inc."
50,Letizia,Abelson,6501.35,28/03/2018,"KCG Holdings, Inc."
51,Leontyne,Kear,1842.74,20/05/2018,Blackrock Municipal Bond Trust
52,Bernie,Cavanagh,7287.96,20/11/2016,CHS Inc
53,Skippy,Stuke,5991.12,12/12/2018,China XD Plastics Company Limited
54,Milo,Sharland,5159.98,31/01/2017,"Dominion Energy, Inc."
55,Kirby,Emmer,6318.6,07/07/2017,Electrum Special Acquisition Corporation
56,Claudette,Ebi,1999.71,03/04/2017,"Acadia Healthcare Company, Inc."
57,Margarete,Montes,4719.98,02/10/2016,"AmTrust Financial Services, Inc."
58,Edita,Cornner,9516.77,27/05/2018,"WhiteHorse Finance, Inc."
59,Cody,Babbage,3784.0,03/10/2018,"United States Lime & Minerals, Inc."
60,Elva,Berthomier,8863.06,13/11/2016,Xenon Pharmaceuticals Inc.
61,Monika,Lashmar,1524.37,03/12/2016,Northern Trust Corporation
