Customer ID,First Name,Last Name,Sales,Order Date,Stock
1,Mellie,Meadowcraft,3569.76,30/05/2016,Hunter Maritime Acquisition Corp.
2,Crystie,Lissenden,8093.06,01/12/2017,Zymeworks Inc.
3,Sapphire,Aylen,4356.66,28/02/2017,"The Bon-Ton Stores, Inc."
4,Arnold,Jonson,7756.07,03/09/2016,"Shake Shack, Inc."
5,Lorrin,Tallboy,1138.73,09/06/2018,Oxford Lane Capital Corp.
6,Sisile,Margetts,6841.43,23/06/2017,TearLab Corporation
7,Moises,Grindall,3222.4,18/04/2018,Monotype Imaging Holdings Inc.
8,Ludvig,Thornthwaite,750.39,03/02/2018,Cambrex Corporation
9,Isa,Konertz,7925.12,24/09/2016,Kansas City Southern
10,Xena,Amys,4751.32,11/04/2017,Peregrine Pharmaceuticals Inc.
11,Gus,Colley,4195.67,14/08/2018,"Entegris, Inc."
12,Marris,Pelling,780.53,14/12/2017,Check Point Software Technologies Ltd.
13,Codie,Teale,8659.29,20/02/2019,"AeroVironment, Inc."
14,Patrice,Eakle,6422.44,08/01/2017,California First National Bancorp
15,Allx,Bourdon,9132.25,27/06/2016,First Trust Large Cap Value AlphaDEX Fund
16,Cosmo,Tillett,2222.05,08/11/2017,Independent Bank Corporation
17,Ugo,Harden,5482.98,27/12/2016,Public Storage
18,Karole,Heenan,872.59,04/01/2019,Aon plc
19,Gert,Keenan,8626.4,04/08/2017,U.S. Bancorp
20,Lee,Gladbach,3607.31,13/01/2018,"Broadridge Financial Solutions, Inc."
21,Arlen,Scourgie,1368.0,30/01/2017,LaSalle Hotel Properties
22,Stefania,Romeuf,3987.14,28/02/2018,Fortress Investment Group LLC
23,Noelle,Sheals,8665.33,26/12/2017,"White Mountains Insurance Group, Ltd."
24,Che,Gritsaev,8748.9,20/08/2016,iStar Financial Inc.
25,Cornie,Lasselle,4204.0,17/10/2018,"Rockwell Medical, Inc."
26,Cara,Arrighini,4495.43,12/04/2017,Pebblebrook Hotel Trust
27,Libbey,Howgill,720.34,14/05/2018,Vanguard Russell 1000 Growth ETF
28,Bryana,Ing,2892.06,12/03/2017,"Maiden Holdings, Ltd."
29,Finn,Bockmann,1744.87,30/01/2019,"Tortoise Power and Energy Infrastructure Fund, Inc"
30,Fenelia,Skews,5799.48,06/12/2016,"Ingles Markets, Incorporated"
31,Pauline,Battabee,4975.58,21/04/2019,WisdomTree Japan Hedged SmallCap Equity Fund
32,Jilleen,Bather,216.1,22/05/2018,"Saia, Inc."
33,Ibbie,Filmer,8480.69,22/08/2018,CABCO Series 2004-101 Trust
34,Vivianne,Peteri,5004.0,24/02/2018,Oxford Immunotec Global PLC
35,Sheffield,Dignan,4686.37,20/05/2019,American Superconductor Corporation
36,Eran,Guerreru,3105.34,11/02/2018,"Porter Bancorp, Inc."
37,Alwin,Goodboddy,4059.93,02/12/2018,Salesforce.com Inc
38,Giraud,Kender,9857.23,28/04/2018,Deutsche Bank AG
39,Adler,Danko,4708.77,28/01/2018,"Reliv' International, Inc."
40,Sterne,Towndrow,1379.56,08/08/2018,Dynegy Inc.
41,Francoise,Casseldine,8522.43,04/04/2018,"WhiteHorse Finance, Inc."
42,Erie,Morgen,7732.49,23/12/2016,Stewart Information Services Corporation
43,Don,Izzard,6435.04,24/06/2017,Brookfield Global Listed Infrastructure Income Fund
44,Beckie,Luttger,4079.01,05/10/2017,Scientific Games Corp
45,Ruprecht,Crossby,4910.13,30/06/2016,"Hawaiian Electric Industries, Inc."
46,Elladine,Haslin,8147.93,15/09/2017,Citigroup Inc.
47,Marthe,Cruden,6830.0,21/06/2018,Genuine Parts Company
48,Rey,Prandoni,4651.52,24/01/2017,Pioneer Municipal High Income Trust
49,Cora,Harrisson,9464.91,01/09/2018,"Simulations Plus, Inc."
50,Sancho,Souza,2479.2,04/09/2016,iShares PHLX SOX Semiconductor Sector Index Fund
51,Maudie,Keohane,4442.19,22/09/2018,"Agilent Technologies, Inc."
52,Claybourne,Alessandrucci,6044.52,16/10/2017,Nuveen Insured California Select Tax-Free Income Portfolio
53,Ardella,Makey,1359.09,06/09/2018,Bank of America Corporation
54,Drucy,Baselio,8383.62,13/08/2018,"Computer Task Group, Incorporated"
55,Demott,Gumly,9639.64,16/06/2016,Edison International
56,Fiona,Day,974.01,20/12/2018,"Greenhill & Co., Inc."
57,Archibaldo,Peterkin,4615.04,25/07/2016,CNA Financial Corporation
58,Kaitlyn,Ralfe,4690.19,25/01/2017,Calamos Convertible Opportunities and Income Fund
59,Dawn,McKenney,4733.6,31/05/2016,Investors Real Estate Trust
60,Townsend,Tolchar,5788.34,04/10/2018,PennyMac Mortgage Investment Trust
61,Sigfrid,Lembcke,9554.81,24/10/2018,Precision Drilling Corporation
62,Kellsie,Shawl,167.22,04/03/2018,Dynagas LNG Partners LP
63,Leslie,Kingsmill,660.02,19/04/2018,American Express Company
64,Ansley,Jumel,1111.7,26/02/2017,Mimecast Limited
65,Germayne,Kelston,2012.89,13/11/2017,First Trust Europe AlphaDEX Fund
66,Christie,Slainey,9396.57,19/05/2019,Lincoln Educational Services Corporation
67,Flori,Parrott,727.0,23/06/2016,Sanchez Energy Corporation
68,Dawn,Bumby,3079.25,14/11/2018,Principal U.S. Small Cap Index ETF
69,Jolie,Pringle,1263.69,22/05/2016,IQ Chaikin U.S. Small Cap ETF
70,Vivienne,Shearer,6688.98,27/10/2018,Nymox Pharmaceutical Corporation
71,Jdavie,Spellsworth,336.85,10/06/2016,"Shoe Carnival, Inc."
72,Hally,Drohan,8764.88,18/12/2018,"aTyr Pharma, Inc."
73,Ronald,Pressland,9415.62,20/01/2018,"Tivity Health, Inc."
74,Myrtle,Lepere,7251.75,16/07/2016,Associated Banc-Corp
75,Burl,Ianittello,1175.47,21/11/2016,CHS Inc
76,Luciano,Hulle,1315.75,25/12/2018,Quotient Technology Inc.
77,Domenico,Melton,6669.62,30/09/2017,"Washington Federal, Inc."
78,Rose,Blankhorn,417.7,29/11/2016,"Financial Engines, Inc."
79,Shaine,Janauschek,4989.45,20/04/2017,"LivePerson, Inc."
80,Derward,Batting,1376.32,15/07/2018,"American Assets Trust, Inc."
81,Molli,Poxon,5575.65,08/08/2016,"FBL Financial Group, Inc."
82,Wyatt,Terzi,7297.38,24/04/2018,"Antares Pharma, Inc."
83,Anna-diana,Cutler,7220.03,15/04/2017,Apollo Investment Corporation
84,Adlai,Rangle,6003.75,25/03/2018,"Viking Therapeutics, Inc."
85,Theodosia,Wellsman,1251.12,16/12/2017,Adient plc
86,Chastity,Freschini,8039.98,26/08/2016,Infinity Property and Casualty Corporation
87,Betsy,Cominello,4692.81,23/11/2018,Harvest Capital Credit Corporation
88,Sallyann,Zavattiero,8703.0,15/01/2019,FirstEnergy Corporation
89,Cam,Sweynson,5423.65,18/11/2018,"PPL Capital Funding, Inc."
90,Pearce,Lamshead,8749.75,14/01/2017,Norwood Financial Corp.
91,Wilfred,Shotboulte,1474.29,15/12/2017,"Safe Bulkers, Inc"
92,Randall,Safe,4292.35,28/06/2016,The Intergroup Corporation
93,Shantee,Dailly,1640.04,31/05/2016,"Amber Road, Inc."
94,Sammie,Arrigo,5881.6,12/01/2018,Gladstone Commercial Corporation
95,Granny,Rumke,2937.48,03/07/2016,Constellium N.V.
96,Dalston,Swatheridge,1569.71,14/07/2018,"SEACOR Holdings, Inc."
97,Eleonora,Pincott,3499.2,18/09/2018,"Crossroads Systems, Inc."
98,Hasheem,Dabes,2202.96,16/12/2018,Ashford Hospitality Trust Inc
99,Hartwell,Bartlam,5416.77,08/04/2017,DDR Corp.
100,Noreen,Grubb,1310.59,26/01/2018,"Elevate Credit, Inc."
101,Lark,Jorat,6985.99,21/02/2017,Ferrari N.V.
102,Chic,Roskruge,7516.16,02/11/2017,Great Elm Capital Corp.
103,Henderson,Nornasell,3580.32,04/05/2019,CymaBay Therapeutics Inc.
104,Rodney,Meconi,1537.36,20/09/2016,"P.A.M. Transportation Services, Inc."
105,Maurise,Schrader,9763.03,22/05/2016,WGL Holdings Inc
106,Belva,Coxhead,4083.01,16/08/2016,ClearBridge American Energy MLP Fund Inc.
107,Garwin,Affleck,2139.07,24/02/2019,"John B. Sanfilippo & Son, Inc."
108,Keefer,Limon,4597.04,01/01/2017,"AutoZone, Inc."
109,Dall,Swatheridge,848.08,17/06/2017,MV Oil Trust
110,Frannie,Heape,2603.96,24/04/2017,Masonite International Corporation
111,Calypso,Aldwinckle,5353.87,30/05/2017,"Sigma Designs, Inc."
112,Maybelle,Bagott,9821.73,07/12/2017,Cambrex Corporation
113,Patrizia,Doonican,6228.98,28/01/2019,HSBC Holdings plc
114,Skyler,Imos,3966.61,11/06/2017,"CSW Industrials, Inc."
115,Milicent,D'Elias,2701.63,28/04/2019,GSV Capital Corp
116,Obie,Kear,9067.11,15/02/2017,Solar Capital Ltd.
117,Claudelle,Harp,2007.47,14/06/2017,"Motorcar Parts of America, Inc."
118,Say,Parkeson,3553.57,09/10/2018,Sterling Bancorp
119,Thane,Kalvin,2923.48,26/03/2018,"PIMCO Commercial Mortgage Securities Trust, Inc."
120,Adriana,Pawlaczyk,5535.33,11/05/2019,"The Finish Line, Inc."
121,Halley,Farlow,3298.19,12/02/2019,Live Ventures Incorporated
122,Ashlie,Kilgrove,5368.22,19/02/2017,Western Digital Corporation
123,Franky,Assur,7076.22,16/04/2017,"PDC Energy, Inc."
124,Harmonia,D'Oyley,4345.98,12/03/2018,CABCO Series 2004-101 Trust
125,Tracy,Simmon,4568.95,31/10/2016,Barclays PLC
126,Merlina,McNeely,6049.48,08/04/2018,"51job, Inc."
127,Mahala,Vernay,9248.22,18/11/2017,DENTSPLY SIRONA Inc.
128,Roxanna,Summerhayes,9168.42,19/02/2017,"Pure Storage, Inc. "
129,Husein,Atteridge,1149.0,29/06/2017,Morgan Stanley
130,Brett,Klee,7803.28,23/05/2017,"Vocera Communications, Inc."
131,Alyson,Simoneschi,2525.5,12/08/2018,"TG Therapeutics, Inc."
132,Clemmy,Knobell,8220.07,21/01/2017,Unico American Corporation
133,Dorella,Overshott,757.23,06/12/2016,Visteon Corporation
134,Millisent,Colnet,6914.34,06/07/2018,"Fiserv, Inc."
135,Dulcea,Scase,7371.15,31/10/2018,Babcock
136,Renelle,Rockcliff,906.97,21/04/2017,MGM Growth Properties LLC
137,Andee,Easthope,7705.02,12/09/2017,Arbor Realty Trust
138,Iggie,Leeds,7800.35,29/07/2016,Pebblebrook Hotel Trust
139,Francklin,Tall,3325.6,19/03/2019,Emmis Communications Corporation
140,Sonia,Eskell,4477.06,18/11/2016,Vanguard Intermediate-Term Corporate Bond ETF
141,Fidelity,Beagrie,7904.23,21/10/2016,"Blackrock Enhanced Government Fund, Inc"
142,Morlee,Pollen,7981.84,30/04/2017,Navigator Holdings Ltd.
143,Ellery,Dedham,5025.96,06/06/2018,INVESCO MORTGAGE CAPITAL INC
144,Zak,Douch,8145.99,17/07/2017,"CBIZ, Inc."
145,Dorian,Clampe,7643.39,21/11/2017,First Trust Developed Markets Ex-US AlphaDEX Fund
