% of Regional Sales,% of Total Sales,Region,Customer ID,First Name,Last Name,Sales,Order Date,Stock,Total Regional Sales,Total Sales
78.683884371,37.606123021,South,1,Thibaud,Murfill,6666.02,14/11/2018,"American Software, Inc.",8471.9,17725.89
78.839284290,73.054935885,South,39,Helenka,Bolland,4447.19,05/09/2017,Cemtrex Inc.,5640.83,6087.46
58.845133749,58.845133749,South,40,Hewett,Leyden,5824.05,25/02/2018,"Ambarella, Inc.",9897.25,9897.25
67.903294818,67.903294818,South,44,Trent,Haylock,6998.65,22/07/2016,"Southern First Bancshares, Inc.",10306.79,10306.79
31.972371500,31.972371500,South,45,Phaidra,McClelland,994.75,04/09/2017,First Trust International Multi-Asset Diversified Income Index,3111.28,3111.28
69.765739050,69.765739050,South,56,Penny,Attac,6088.47,09/12/2018,La Quinta Holdings Inc.,8727.02,8727.02
84.731772674,35.517442098,South,68,Jodie,Wison,9372.3,24/07/2017,Allstate Corporation (The),11061.14,26387.88
11.286388720,1.800647091,South,74,June,Georges,532.16,21/09/2018,"America Movil, S.A.B. de C.V.",4715.06,29553.82
43.595611817,43.595611817,South,81,Kalina,Hebner,7509.1,16/07/2017,Nuveen Select Tax Free Income Portfolio II,17224.44,17224.44
43.148005306,32.204176250,South,82,Egbert,Greenroad,3574.48,20/08/2018,Vanguard Russell 2000 ETF,8284.23,11099.43
36.439021008,36.439021008,South,86,Hurley,Gourlay,6306.72,09/04/2019,Lincoln National Corporation,17307.6,17307.6
2.565857748,2.565857748,South,100,Lamond,Olivas,175.05,05/02/2018,"Terra Nitrogen Company, L.P.",6822.28,6822.28
66.473881515,41.989756669,South,103,Finlay,Kunat,6216.89,01/08/2017,Opus Bank,9352.38,14805.73
39.587895803,27.750748009,South,109,Libbi,Turk,6097.3,06/08/2017,"Cyclacel Pharmaceuticals, Inc.",15401.93,21971.66
66.439465515,66.439465515,South,117,Franz,Mendus,7876,28/04/2017,Cooper-Standard Holdings Inc.,11854.4,11854.4
18.475577488,18.475577488,South,122,Brander,Dudhill,687.77,27/11/2017,"Synopsys, Inc.",3722.59,3722.59
51.389595211,22.647837703,South,124,Harlie,Duchesne,5759.9,19/01/2017,CABCO Series 2004-101 Trust,11208.3,25432.45
59.984413248,59.984413248,South,133,Catina,Caccavale,5295.43,21/10/2016,"Customers Bancorp, Inc",8828.01,8828.01
6.754626967,3.540708108,South,150,Pansie,Thomasset,1458.89,03/03/2019,"Goldman Sachs Group, Inc. (The)",21598.38,41203.34
14.870268238,14.870268238,South,153,Shaina,Oda,1186.35,22/09/2017,"Neenah Paper, Inc.",7978,7978
72.284302075,72.284302075,South,156,Lynnet,Anthonies,9780.76,01/04/2019,First Trust New Opportunities MLP & Energy Fund,13530.96,13530.96
85.373119247,60.809475796,South,157,Urban,Chaize,8956.05,23/12/2017,Tesoro Corporation,10490.48,14728.05
84.989299430,59.298647616,South,162,Aldridge,Ourry,8156.95,18/10/2016,Ferroglobe PLC,9597.62,13755.71
