Customer ID,First Name,Last Name,Sales,Order Date,Stock
1,Thibaud,Murfill,6666.02,14/11/2018,"American Software, Inc."
2,Kordula,Sreenan,796.14,07/02/2017,ITT Inc.
3,Glynda,Izaac,7693.85,30/06/2016,"F5 Networks, Inc."
4,Patty,Marriott,7077.28,16/02/2017,Quest Resource Holding Corporation.
5,Pierce,Legate,8862.54,03/08/2018,Grupo Supervielle S.A.
6,Ly,Tant,2538.91,27/11/2017,China Southern Airlines Company Limited
7,Neall,Dubbin,8667.16,01/01/2017,Trans World Entertainment Corp.
8,Dionisio,Hutchin,4800.45,25/12/2016,Wyndham Worldwide Corp
9,Mara,Patriche,7076.63,22/12/2016,Resource Capital Corp.
10,Georas,Longson,1533.4,01/06/2016,"Salem Media Group, Inc."
11,Moses,Hare,5506.24,01/08/2016,Procter & Gamble Company (The)
12,Cynthy,Bustin,6858.57,23/01/2019,"Community Health Systems, Inc."
13,Jehu,Beaford,5566.22,25/07/2016,BlackRock Income Investment Quality Trust
14,Roslyn,Seamark,4132.56,18/05/2017,The Gabelli Healthcare & Wellness Trust
15,Jacquetta,Christou,901.02,18/03/2019,Ralph Lauren Corporation
16,Isa,Spuffard,9000.88,08/12/2018,Alliant Energy Corporation
17,Hobart,Parncutt,4259.33,08/02/2019,"Roadrunner Transportation Systems, Inc"
18,Elwira,Fideler,7918.65,23/07/2017,Curtiss-Wright Corporation
19,Boy,Coronado,6870.51,27/10/2016,"RE/MAX Holdings, Inc."
20,Derrick,Abramovic,3671.73,24/11/2016,First Trust Large Cap Growth AlphaDEX Fund
21,Patti,Caris,5798.92,01/03/2017,Agenus Inc.
22,Guillema,Danser,8400.09,15/03/2019,"Valmont Industries, Inc."
23,Beck,Vauter,3207.17,30/10/2016,SpartanNash Company
24,Tyrone,MacCome,3363.82,04/10/2018,"Soligenix, Inc."
25,Cyndy,Clampe,5332.69,24/10/2017,Nuveen Core Equity Alpha Fund
26,Magdalen,Shatliff,6559.62,05/02/2019,"Reinsurance Group of America, Incorporated"
27,Etan,Gellier,5443.32,01/08/2016,Fortress Investment Group LLC
28,Nevsa,Roostan,4261.52,05/03/2017,Cerulean Pharma Inc.
29,Karole,Showt,4505.25,10/11/2017,MGM Growth Properties LLC
30,Raynell,Cusiter,7908.3,25/02/2018,Eaton Vance Municipal Income 2028 Term Trust
31,Lauritz,Corcoran,4546.1,11/09/2018,Bank Of Montreal
32,Lindie,Kemwall,6589.97,03/09/2017,The Medicines Company
33,Vale,Sebyer,4110.76,31/01/2017,"Wayside Technology Group, Inc."
34,Guthrie,Di Maria,6896.18,28/05/2016,"1347 Property Insurance Holdings, Inc."
35,Alexine,Bayston,2878.32,19/11/2016,"Haverty Furniture Companies, Inc."
36,Agustin,Tutchell,6204.48,14/07/2016,"Western Asset High Income Opportunity Fund, Inc."
37,Kari,Spiring,5113.91,10/03/2018,"PRA Health Sciences, Inc."
38,Josh,Prier,2714.84,11/01/2019,"Versum Materials, Inc."
39,Helenka,Bolland,4447.19,05/09/2017,Cemtrex Inc.
40,Hewett,Leyden,5824.05,25/02/2018,"Ambarella, Inc."
41,Cleon,Sidnall,4486.21,25/12/2017,Accuray Incorporated
42,Cyb,Houdhury,699.5,21/02/2019,"Gaming and Leisure Properties, Inc."
43,Latashia,Hovel,3862.81,13/03/2019,PPL Corporation
44,Trent,Haylock,6998.65,22/07/2016,"Southern First Bancshares, Inc."
45,Phaidra,McClelland,994.75,04/09/2017,First Trust International Multi-Asset Diversified Income Index
46,Way,Longbone,5364.72,25/12/2018,Invesco Pennsylvania Value Municipal Income Trust
47,Taddeusz,Jarlmann,7146.48,09/10/2017,Reynolds American Inc
48,Zane,Saunton,810.03,01/12/2018,"Era Group, Inc."
49,Alena,Gierth,4986.3,22/12/2016,National Steel Company
50,Sylas,Whitney,3941.77,02/07/2016,Canadian Pacific Railway Limited
51,Codi,Rossetti,8916.87,09/09/2016,OncoGenex Pharmaceuticals Inc.
52,Antonin,Mugford,9879.87,12/01/2019,Transocean Ltd.
53,Nikki,Weippert,2308.56,30/08/2018,"Trinity Industries, Inc."
54,Aaron,Bonaire,1273.8,20/05/2017,The Descartes Systems Group Inc.
55,Derward,Pantry,4133.77,08/07/2016,"Porter Bancorp, Inc."
56,Penny,Attac,6088.47,09/12/2018,La Quinta Holdings Inc.
57,Manon,Packwood,4887.24,24/03/2017,"Solaris Oilfield Infrastructure, Inc."
58,Drusilla,Fautley,6983.31,30/08/2018,"NeuroMetrix, Inc."
59,Ariadne,Missington,7168.97,12/07/2018,Brookfield Renewable Partners L.P.
60,Kerwin,Carnihan,4013.6,20/04/2019,Five Star Senior Living Inc.
61,Berkeley,Ilbert,362.96,26/02/2018,"Apricus Biosciences, Inc."
62,Gav,Mudd,2818.77,30/06/2017,GP Investments Acquisition Corp.
63,Margarete,Duckerin,9797.69,19/05/2018,Tekla Healthcare Investors
64,Terrell,Broker,7027.92,28/12/2016,Aspen Insurance Holdings Limited
65,Alexandro,Esson,728.25,05/09/2018,Realty Income Corporation
