Customer ID,First Name,Last Name,Sales,Order Date,Stock
1,Tadeas,Clowney,9126.84,03/08/2016,"StarTek, Inc."
2,Bunni,Urquhart,1869.99,15/05/2017,"Zillow Group, Inc."
3,Garold,Charlton,3684.04,14/06/2016,"UFP Technologies, Inc."
4,Vere,Ramme,2773.71,15/01/2019,"Guaranty Bancshares, Inc."
5,Karine,Adshad,3286.12,04/02/2019,Movado Group Inc.
6,Fred,Fitton,2676.84,12/08/2017,"Boston Private Financial Holdings, Inc."
7,Salomone,Dearan,5747.23,13/04/2019,500.com Limited
8,Tatum,Serchwell,2705.42,09/02/2018,KKR & Co. L.P.
9,Wendeline,Halso,8894.83,02/10/2017,"Achaogen, Inc."
10,Katee,Bohike,4900.7,18/03/2019,Amgen Inc.
11,Annetta,Chaunce,6901.68,18/02/2018,WSFS Financial Corporation
12,Esmeralda,Ekins,2472.45,24/03/2019,Axalta Coating Systems Ltd.
13,Clay,Sore,9449.96,07/10/2018,"Vmware, Inc."
14,Buddie,Patkin,6069.25,27/12/2016,Horizon Technology Finance Corporation
15,Winnifred,Adamec,9233.83,10/11/2016,First Trust Dynamic Europe Equity Income Fund
16,Berna,Corneljes,1235.91,27/11/2017,"Columbia Seligman Premium Technology Growth Fund, Inc"
17,Drusi,Acuna,7930.83,14/01/2017,"Redwood Trust, Inc."
18,Janith,Tomblin,9158.29,23/04/2018,Coca-Cola European Partners plc
19,Bone,MacCague,2623.56,07/12/2018,"Merit Medical Systems, Inc."
20,Valeria,Blakden,7971.03,27/04/2018,"Peak Resorts, Inc."
21,Nettle,Jewes,4266.71,18/07/2018,"Gabelli Equity Trust, Inc. (The)"
22,Neala,Henrych,8389.28,17/02/2018,Public Storage
23,Tuesday,Blundon,9262.06,19/05/2018,"Wolverine Bancorp, Inc."
24,Oberon,Diter,5594.31,21/12/2017,Edison International
25,Lydon,Lees,9977.94,04/08/2018,"NextEra Energy, Inc."
