Email,Order Total,Order Date
csinclaire9@cmu.edu,95.2,10-Oct-2018
fmulliscy@usda.gov,59.8,27-Aug-2018
bbartzennb@fema.gov,27.0,11-Aug-2018
mladloedl@disqus.com,27.5,15-Aug-2018
tbragg69@tumblr.com,1.9,24-Jul-2018
btirreyv@geocities.com,39.2,30-May-2018
cdenisevichcu@nifty.com,96.7,23-Jan-2019
sbielfeldrh@unc.edu,85.2,25-Mar-2019
jgreshamny@sciencedaily.com,46.2,12-Jul-2018
wfurnisso3@adobe.com,66.7,08-May-2019
emarple6r@yolasite.com,7.9,18-May-2019
falpino5@state.gov,59.9,12-Jan-2019
ichartregz@imageshack.us,46.7,05-Nov-2018
apainehq@tumblr.com,35.6,27-Jun-2018
tenzley6w@wisc.edu,14.1,21-Aug-2018
cellam8@blog.com,81.8,27-Jun-2018
gbrothwoodbi@list-manage.com,58.2,20-Aug-2018
dmorinma@epa.gov,39.8,09-May-2019
sowers43@google.co.jp,7.4,02-May-2019
mharrhyc0@java.com,89.2,23-Dec-2018
jpoole46@youtube.com,9.9,16-Jul-2018
pcarmeph@bing.com,47.4,14-Sep-2018
bhendriksefm@house.gov,99.1,06-Sep-2018
ptanbyk8@prnewswire.com,38.1,23-May-2019
ssweetdy@so-net.ne.jp,81.3,29-Sep-2018
ywagerol@youtu.be,39.3,16-Oct-2018
nclayf9@ucsd.edu,44.2,30-Jan-2019
cstendell50@cnbc.com,5.7,20-Aug-2018
karling1i@intel.com,23.1,01-Jul-2018
jkelleii@tinyurl.com,74.4,17-Dec-2018
cpaladinil5@fc2.com,33.5,23-Dec-2018
lbenham4d@github.com,32.5,23-Feb-2019
aretchlessiw@washington.edu,73.0,11-Jul-2018
wpalingfb@angelfire.com,95.8,15-Aug-2018
oredshaw2b@newsvine.com,7.3,26-Oct-2018
ttolchard3@godaddy.com,50.0,14-May-2019
mboij4n@github.com,51.7,25-May-2018
hmeehanhk@huffingtonpost.com,34.2,18-Jan-2019
icliburn6z@dmoz.org,46.3,12-Feb-2019
lrubinowiczmn@over-blog.com,37.8,01-Jan-2019
iebbsr1@shareasale.com,17.4,05-Apr-2019
sandellac@creativecommons.org,66.8,03-Sep-2018
awillowscf@imageshack.us,17.6,11-Apr-2019
kdenish@japanpost.jp,34.4,04-Aug-2018
rjerdonm6@simplemachines.org,48.7,05-Jun-2018
mclabburnd@guardian.co.uk,80.7,20-Aug-2018
sbielfeldrh@unc.edu,5.0,10-May-2019
vdonisor7@google.ru,21.1,05-Aug-2018
gpannamanre@salon.com,68.5,23-Nov-2018
rcherryja@nhs.uk,5.1,12-Oct-2018
parnoud5i@vk.com,16.6,20-Feb-2019
narberic@google.fr,33.6,24-Aug-2018
achasierbz@cbsnews.com,27.7,12-Aug-2018
kduxburypz@java.com,86.5,17-May-2019
rbaldwinbd@businesswire.com,19.6,29-Jan-2019
kbertsonh9@chronoengine.com,96.0,06-Aug-2018
ebrasted86@cpanel.net,15.0,14-May-2019
kholbarrow7@whitehouse.gov,27.9,04-Jan-2019
rlarrawaycg@cdc.gov,19.3,21-Dec-2018
lforthqw@livejournal.com,24.7,30-Sep-2018
derteltcn@moonfruit.com,75.7,14-Jul-2018
hpridmorelv@youtube.com,30.3,06-Oct-2018
tcrimpe7k@kickstarter.com,54.2,04-Apr-2019
cconew6l@yahoo.com,61.5,22-May-2019
fohmsk1@cdbaby.com,42.3,13-Mar-2019
gbramahd2@51.la,1.2,24-Aug-2018
psparhawkl4@furl.net,8.3,21-May-2019
hmelbury71@cbc.ca,79.7,10-May-2019
vswordjs@people.com.cn,14.8,16-Aug-2018
vswordjs@people.com.cn,65.6,27-Jun-2018
cbarnewellll@harvard.edu,67.1,02-May-2019
cheber31@hubpages.com,51.7,03-Dec-2018
hmelbury71@cbc.ca,58.4,01-Aug-2018
pdaughton6c@ebay.com,87.0,20-Dec-2018
icammishar@illinois.edu,21.7,17-May-2019
awhistlecroft7v@nih.gov,48.2,24-Nov-2018
rgwyercm@amazon.co.uk,16.4,20-Mar-2019
gbeebeel7@ca.gov,87.1,21-Jan-2019
gcatteldd@hatena.ne.jp,32.0,21-Jun-2018
klugsdini5@fema.gov,12.1,14-May-2019
pkermodep1@loc.gov,18.9,07-Dec-2018
csouthwoodd4@prnewswire.com,72.5,02-Sep-2018
fgorewayrk@ameblo.jp,47.6,30-Nov-2018
vpachmann7e@discuz.net,44.6,17-Aug-2018
psingersmx@wix.com,35.9,12-Jul-2018
gmaciejalq@shutterfly.com,51.8,28-Aug-2018
hmcdaiden@wired.com,14.8,04-Nov-2018
dpenddrethm1@de.vu,2.0,11-Jun-2018
nhanselke@dagondesign.com,24.2,18-Oct-2018
parnoud5i@vk.com,49.6,25-Feb-2019
lkarmelhw@cdc.gov,3.5,28-Mar-2019
rpetrakovri@rambler.ru,74.2,31-Jan-2019
btirreyv@geocities.com,10.9,13-Aug-2018
