Last 6 Months Rank,Email,Order Total
34,tchesnay9x@github.io,317.8
21,mvancastelel6@surveymonkey.com,343.3
5,dmathison6d@twitter.com,389
37,rmcgarahan1w@soup.io,308.3
27,lrubinowiczmn@over-blog.com,330.4
55,thawker3a@vinaora.com,291
72,bllewellynlu@howstuffworks.com,275.6
30,ldomingues3h@ihg.com,327.9
39,bgagesr8@ucla.edu,307.7
1,gsanbrookb8@mlb.com,521.7
7,chavock70@freewebs.com,383.3
8,dstitcherj0@hubpages.com,383
52,asimysonns@sohu.com,293.6
32,lobradainaq@admin.ch,322.7
64,rbradbornehe@soundcloud.com,282.2
61,hohickeedx@cbsnews.com,286.4
31,abenedetti8t@hud.gov,324.2
49,sstothardgc@dyndns.org,299.6
24,rsutherdenht@amazon.co.jp,336.6
26,lclaypoole5@youtube.com,335.2
51,tgeerebe@friendfeed.com,295.3
46,mdefrainc5@plala.or.jp,300.4
69,clewinsdn@geocities.jp,278.3
17,gbeebeel7@ca.gov,352.2
35,fpiscottiaj@toplist.cz,310
62,mboltepb@irs.gov,284
4,kcathesyedrl@parallels.com,411.1
45,edayesgs@hugedomains.com,301.2
14,kmedlingdt@freewebs.com,366.1
45,ucorpes2m@usnews.com,301.2
71,ggodsell6j@umn.edu,275.8
6,cchessil8b@sitemeter.com,386.4
13,dhyndlr@sun.com,368.9
40,wprobbingsdh@ft.com,306.2
33,rarundelli4@netvibes.com,321
53,rleyshl@prweb.com,293.5
11,mharrhyc0@java.com,376.1
70,ahawsbycx@irs.gov,278.1
28,adeane25@twitter.com,328.6
41,stynewellw@kickstarter.com,304.5
10,ecuppleditchnq@princeton.edu,376.9
20,rbarockro@liveinternet.ru,343.4
60,ggilhoolie3s@seattletimes.com,286.9
15,djaquiss7w@sphinn.com,357.2
63,pmilbankbo@prlog.org,282.3
66,aheffordeh6@wiley.com,281.1
59,feddinsqy@about.me,287.1
57,btirreyv@geocities.com,288.4
56,cpaladinil5@fc2.com,288.8
12,hcheversfi@edublogs.org,374.9
65,gkettridge7h@yale.edu,281.8
50,dfonzonepf@instagram.com,297.1
58,dalesbrook2h@mlb.com,288.3
18,gburrassnw@google.fr,347.4
19,tenzley6w@wisc.edu,344.6
9,rrippingalegr@dailymail.co.uk,382.7
16,rmarkel9n@wp.com,356.2
36,ehealks17@privacy.gov.au,309.7
67,traimanl2@washingtonpost.com,280
43,fmulliscy@usda.gov,302.7
47,rperotti6o@simplemachines.org,299.9
68,mdouchjw@gnu.org,278.8
42,nguthrum51@google.fr,303.7
29,xhamelynq4@cpanel.net,328.5
38,bmassow3z@list-manage.com,308.2
25,kduxburypz@java.com,336.2
3,lgillmor4v@blinklist.com,457
23,cstendell50@cnbc.com,340.5
22,sbollerjj@dedecms.com,340.8
48,dsconcepa@shop-pro.jp,299.8
54,gdurrell9a@blinklist.com,293.5
2,rhabin95@washingtonpost.com,467.7
