Date,Name,Value,Scent,Product,Notes
15/07/2019,Mrs Theodore,2500,Jasmine ,Liquid Soap,mrs theodore wants £2500 of jasmine liquid soap
15/07/2019,Mr Smith,400,Lavender ,Soap Bars,mr smith wants £400 of lavender soap bars
16/07/2019,Mr Rankin,250,Jasmine ,Liquid Soap,mr rankin wants £250 of jasmine liquid soap
17/07/2019,Mr Bumble,4000,Honey ,Soap Bars,mr bumble wants £4000 of honey soap bars
19/07/2019,Mrs Floral,200,Lavender ,Soap Bars,mrs floral wants £200 of lavender soap bars
19/07/2019,Mrs Bumble,100,Honey ,Liquid Soap,mrs bumble wants £100 of honey liquid soap
22/07/2019,Mrs Bumble,1000,Honey ,Soap Bars,mrs bumble wants £1000 of honey soap bars
23/07/2019,Mr Bumble,250,Honey ,Liquid Soap,mr bumble wants £250 of honey liquid soap
23/07/2019,Sir Lordy,5000,Lavender ,Soap Bars,sir lordy wants £5000 of lavender soap bars
24/07/2019,Mr Smith,250,Lavender ,Liquid Soap,mr smith wants £250 of lavender liquid soap
26/07/2019,Mrs Theodore,250,Jasmine ,Liquid Soap,mrs theodore wants £250 of jasmine liquid soap
29/07/2019,Mr Adam,200,Jasmine ,Soap Bars,mr adam wants £200 of jasmine soap bars
29/07/2019,Ms Martin,400,Lavender ,Liquid Soap,ms martin wants £400 of lavender liquid soap
30/07/2019,Mr Allchin,100,Espresso ,Coffee Beans,mr allchin wants £100 of espresso coffee beans
30/07/2019,Lady Lordy,2000,Jasmine ,Soap Bars,lady lordy wants £2000 of jasmine soap bars
31/07/2019,Mr Smith,400,Lavender ,Liquid Soap,mr smith wants £400 of lavender liquid soap
02/08/2019,Mrs Bumble,1000,Honey ,Liquid Soap,mrs bumble wants £1000 of honey liquid soap
02/08/2019,Ms Cohen,250,Lemongrass ,Soap Bars,ms cohen wants £250 of lemongrass soap bars
