Store,Employee,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21
Stratford,Julie,3302,3450,2642,4647,7493,5088,8414
Stratford,Pete,4052,2987,5328,8429,3616,5397,8588
Stratford,Jose,5226,1631,7497,2134,5814,895,5312
Stratford,Andre,9369,9255,1738,3543,8126,5953,3370
Stratford,Edward,7854,3059,9304,2304,5331,5928,8608
Stratford,Isla,583,5051,8761,8858,7924,4334,9074
Stratford,Ingrid,6020,2684,1261,6780,4539,9535,1594
Stratford,Jessie,7424,5931,8493,396,2689,1003,8761
Stratford,Ezra,7355,5338,1740,6676,6288,1373,5965
Stratford,Patrick,9790,5791,4978,8294,3155,5520,6961
Wimbledon,Edward,1570,3455,1976,8431,3930,3901,7472
Wimbledon,Francis,5773,2544,3232,2148,5068,8365,4000
Wimbledon,Oscar,3083,8507,159,466,6334,395,7639
Wimbledon,Olivia,6417,4767,2534,2653,9041,3605,1955
Wimbledon,Penelope,2910,9909,2483,4648,8549,89,6921
Wimbledon,Pete,5731,7932,8440,4981,3698,523,9101
Wimbledon,Quentin,3030,658,350,6304,4766,3492,5110
Wimbledon,Victoria,9168,6314,2935,2565,7399,482,8664
Wimbledon,Lily,6113,3893,1400,8848,580,9610,7033
Wimbledon,Angus,1554,8694,8137,7035,3828,6468,5740
Bristol,Cecilia,5266,9859,7948,4589,1049,2388,1319
Bristol,Rhys,9298,1596,488,5146,3293,4526,8893
Bristol,Olivia,6759,9924,8250,9131,9415,2914,740
Bristol,Jessie,7905,1250,3429,8534,2193,8105,5354
Bristol,Laura,8497,6900,1834,437,6919,6240,689
Bristol,Cat,2879,9257,9129,9108,9015,2439,4895
York,William,4246,4808,4472,5569,8047,5607,4559
York,Sophie,326,6558,2039,8859,8887,7397,3670
York,Molly,7633,5434,8711,4306,4401,5283,4592
York,Zack,6056,2088,4554,8833,1145,1483,7087
York,Jessie,92,9029,350,8545,9512,9417,7786
York,Xavier,7690,3835,6728,7383,2388,526,3619
York,Sam,8413,3121,2052,1300,3200,8923,1129
York,John,8535,7372,5601,9876,5266,6157,3452
York,Edward,5611,9200,6685,5070,1415,5762,6504
